news_updated_at,news_url,title
2020-05-14,http://www.pbc.gov.cn//goutongjiaoliu/113456/113469/4023435/index.html,中国人民银行副行长陈雨露出席金砖国家财政和央行副手视频会议
2020-05-14,http://www.pbc.gov.cn//goutongjiaoliu/113456/113469/4023326/index.html,美国惠誉评级公司获准进入中国信用评级市场
2020-05-14,http://www.pbc.gov.cn//goutongjiaoliu/113456/113469/4023424/index.html,中国人民银行 银保监会 证监会 外汇局发布《关于金融支持粤港澳大湾区建设的意见》
2020-05-14,http://www.pbc.gov.cn//goutongjiaoliu/113456/113469/4023428/index.html,中国人民银行 中国银行保险监督管理委员会 中国证券监督管理委员会 国家外汇管理局关于金融支持粤港澳大湾区建设的意见
2020-05-14,http://www.pbc.gov.cn//goutongjiaoliu/113456/113469/4023136/index.html,中国人民银行在香港成功发行300亿元人民币央行票据
2020-05-13,http://www.pbc.gov.cn//goutongjiaoliu/113456/113469/4022675/index.html,中国人民银行金融科技委员会召开2020年第1次会议
2020-05-12,http://www.pbc.gov.cn//goutongjiaoliu/113456/113469/4022524/index.html,人民银行调查统计司有关负责人就4月份金融统计数据情况答《金融时报》记者问
2020-05-12,http://www.pbc.gov.cn//goutongjiaoliu/113456/113469/4022095/index.html,人民银行在线举办“青春心向党 战‘疫’在央行”五四主题团日活动
2020-05-11,http://www.pbc.gov.cn//goutongjiaoliu/113456/113469/4021199/index.html,2020年4月金融统计数据报告
2020-05-11,http://www.pbc.gov.cn//goutongjiaoliu/113456/113469/4021202/index.html,2020年4月社会融资规模存量统计数据报告
2020-05-11,http://www.pbc.gov.cn//goutongjiaoliu/113456/113469/4021205/index.html,2020年4月社会融资规模增量统计数据报告
2020-05-10,http://www.pbc.gov.cn//goutongjiaoliu/113456/113469/4021012/index.html,2020年第一季度中国货币政策执行报告
2020-05-10,http://www.pbc.gov.cn//goutongjiaoliu/113456/113469/4021017/index.html,2020年第一季度中国货币政策大事记
2020-05-09,http://www.pbc.gov.cn//goutongjiaoliu/113456/113469/4020237/index.html,国务院政策例行吹风会“介绍2019年国务院部门办理人大代表建议和政协委员提案情况”文字实录
2020-05-08,http://www.pbc.gov.cn//goutongjiaoliu/113456/113469/4019884/index.html,2020年一季度地区社会融资规模增量统计表
2020-05-07,http://www.pbc.gov.cn//goutongjiaoliu/113456/113469/4019498/index.html,《境外机构投资者境内证券期货投资资金管理规定》政策问答（一）
2020-05-07,http://www.pbc.gov.cn//goutongjiaoliu/113456/113469/4019492/index.html,取消境外机构投资者额度限制 推动金融市场进一步开放
2020-04-30,http://www.pbc.gov.cn//goutongjiaoliu/113456/113469/4017042/index.html,包商银行接管组关于蒙商银行成立答《金融时报》记者问
2020-04-30,http://www.pbc.gov.cn//goutongjiaoliu/113456/113469/4017033/index.html,关于包商银行股份有限公司转让相关业务、资产及负债的公告
2020-04-28,http://www.pbc.gov.cn//goutongjiaoliu/113456/113469/4015496/index.html,中央金融单位定点扶贫决战决胜脱贫攻坚工作推进会暨中国人民银行扶贫开发工作领导小组会议在京召开
2020-04-28,http://www.pbc.gov.cn//goutongjiaoliu/113456/113469/4014885/index.html,2020年第一季度企业家问卷调查报告
2020-04-28,http://www.pbc.gov.cn//goutongjiaoliu/113456/113469/4014873/index.html,2020年第一季度银行家问卷调查报告
2020-04-28,http://www.pbc.gov.cn//goutongjiaoliu/113456/113469/4014893/index.html,2020年第一季度城镇储户问卷调查报告
2020-04-27,http://www.pbc.gov.cn//goutongjiaoliu/113456/113469/4014870/index.html,中国人民银行在上海等6市（区） 扩大金融科技创新监管试点
2020-04-27,http://www.pbc.gov.cn//goutongjiaoliu/113456/113469/4014898/index.html,人民银行召开创建“让党中央放心、让人民群众满意的模范机关”工作推进会
2020-04-27,http://www.pbc.gov.cn//goutongjiaoliu/113456/113469/4014876/index.html,国家互联网信息办公室等部门联合发布《网络安全审查办法》
2020-04-26,http://www.pbc.gov.cn//goutongjiaoliu/113456/113469/4013939/index.html,全国金融精准扶贫工作电视电话会议在京召开
2020-04-24,http://www.pbc.gov.cn//goutongjiaoliu/113456/113469/4012924/index.html,2020年3月份金融市场运行情况
2020-04-24,http://www.pbc.gov.cn//goutongjiaoliu/113456/113469/4013173/index.html,2020年一季度金融机构贷款投向报告
2020-04-23,http://www.pbc.gov.cn//goutongjiaoliu/113456/113469/4012612/index.html,切实践行支付为民理念 大力加强支付体系管理
2020-04-21,http://www.pbc.gov.cn//goutongjiaoliu/113456/113469/4011334/index.html,中国人民银行于4月21日开展央行票据互换（CBS）操作
2020-04-16,http://www.pbc.gov.cn//goutongjiaoliu/113456/113469/4008749/index.html,中国人民银行行长易纲出席第41届国际货币与金融委员会视频会议
2020-04-16,http://www.pbc.gov.cn//goutongjiaoliu/113456/113469/4008597/index.html,信贷支持实体经济的针对性和有效性增强
